SAMINATURA BINEFAR;;;;;;;;;;;;;;;;;;;;;;
ARTICULOS GENERAL;;;;;;;;;;;;;;;;;;;;;;

Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F
ARTICULOS GENERAL;;;;;;;;;Pagina 3 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2142;2142;ARANDANOS;UNIDADES;10%;;;NORMAL;;V;C;S; 
1800;1800;arbol de te;UNIDADES;10%;;;NORMAL;;V;C;S; 
2076;2076;ARCILLA VERDE;UNIDADES;21%;;;NORMAL;;V;C;S; 
2068;2068;ARNICA;UNIDADES;21%;;;NORMAL;;V;C;S; 
1741;1741;aronia;UNIDADES;10%;;;NORMAL;;V;C;S; 
1708;1708;ARONIA BERRIES POLVO;UNIDADES;10%;;;NORMAL;;V;C;S; 
1808;1808;ARROWROOT;UNIDADES;10%;;;NORMAL;;V;C;S; 
3514;3514;arroz blanco;UNIDADES;4%;;;NORMAL;;V;C;S; 
1947;1947;ARROZ BLANCO;UNIDADES;2%;;;NORMAL;;V;C;S; 
3215;3215;arroz de sushi;UNIDADES;4%;;;NORMAL;;V;C;S; 
3111;3111;ARROZ INTEGRAL;UNIDADES;10%;;;NORMAL;;V;C;S; 
2838;2838;arroz negro;UNIDADES;4%;;;NORMAL;;V;C;S; 
1421;1421;ARROZ NEGRO;UNIDADES;4%;;;NORMAL;;V;C;S; 
3319;3319;ARROZ ROJO;UNIDADES;4%;;;NORMAL;;V;C;S; 
2931;2931;ARROZ SEMI 1KG;UNIDADES;4%;;;NORMAL;;V;C;S; 
1742;1742;artemisa;UNIDADES;10%;;;NORMAL;;V;C;S; 
2481;2481;ARTEMISA ANNUA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2734;2734;ARTHRO FORTE;UNIDADES;0%;;;NORMAL;;V;C;S; 
1167;1167;ARTICULO 1167;UNIDADES;10%;;;NORMAL;;V;C;S; 
1292;1292;ARTICULO 1292;UNIDADES;10%;;;NORMAL;;V;C;S; 
1301;1301;ARTICULO 1301;UNIDADES;10%;;;NORMAL;;V;C;S; 
1320;1320;ARTICULO 1320;UNIDADES;10%;;;NORMAL;;V;C;S; 
1321;1321;ARTICULO 1321;UNIDADES;10%;;;NORMAL;;V;C;S; 
1322;1322;ARTICULO 1322;UNIDADES;10%;;;NORMAL;;V;C;S; 
1323;1323;ARTICULO 1323;UNIDADES;10%;;;NORMAL;;V;C;S; 
1324;1324;ARTICULO 1324;UNIDADES;10%;;;NORMAL;;V;C;S; 
