SAMINATURA BINEFAR;;;;;;;;;;;
ARTICULOS - PROVEEDOR;;;;;;;;;;;

DEPORTE;;
;;;;;;;;;;;

ALIMENTACION-ACEITES;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
220;ACEITE DE GIRASOL;;7- BIOCOP;;12,00;4,27;;25;;
;;;;;;;;;;;

COSMETICA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1260;ACEITE DE HIGO CHUMBO;;10009- faire;;3,00;14,45;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2553;ACEITE DE JOJOBA;;21-NATURAKOSMETIC;;1,00;6,96;;0;;
;;;;;;;;;;;

ALIMENTACION-BEBIDAS-AGUA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
107;aceite de lino 250ml;;3- FELIUBADALO;;6,00;2,77;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1662;aceite de maracuya;;10009- faire;;6,00;2,83;;0;;
;;;;;;;;;;;

COSMETICA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1264;ACEITE DE MARULA 100ml;;10- ECOPLAZA;;1,00;7,45;;0;;
1264;ACEITE DE MARULA 100ml;;10009- faire;;2,00;7,45;;0;;
;;;;;;;;;;;
1263;ACEITE DE MARULA 50ML;;10009- faire;;2,00;4,95;;0;;
;;;;;;;;;;;

ARTICULOS - PROVEEDOR;;;;;Pagina 5 ;;;Fecha : 03/02/2026;;;
TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2990;aceite de mejorana;;10012- APROLIS;;2,00;8,04;;0;;
;;;;;;;;;;;
1664;aceite de moringa;;10009- faire;;6,00;4,13;;0;;
;;;;;;;;;;;
1665;ACEITE DE NEEM;;10009- faire;;6,00;2,87;;0;;
;;;;;;;;;;;
974;ACEITE DE OLIVA 0,5CL;;28- ARTEOLIVA;;10,00;5,35;;0;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
973;ACEITE DE OLIVA 1L;;28- ARTEOLIVA;;10,00;9,50;;0;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
841;ACEITE DE OLIVA ECO;;25- NUTRICIONSANTE;;12,00;13,16;;20;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2592;ACEITE DE ONAGRA;;29- LIFE PRO;;6,00;12,50;;0;;
;;;;;;;;;;;
2139;aceite de recino;;10- ECOPLAZA;;12,00;3,99;;0;;
